SEQ1,SEQ2,PROT_PERCENTID,CDNA_PERCENTID,Ka,Ks,Ka/Ks
XP_004835241.1,ENSRNOP00000039320,45.87,66.97,0.5409,0.3874,1.39611
XP_004868028.1,ENSRNOP00000018226,28.7,50,0.9507,0.962,0.98831
XP_004858761.1,ENSRNOP00000006266,44.12,63.92,0.4985,0.5706,0.87364
XP_004873065.1,ENSRNOP00000054242,57.14,74.23,0.3308,0.3795,0.87161
XP_004853431.1,ENSRNOP00000006548,57.45,75.71,0.3203,0.3679,0.87084
XP_004871808.1,ENSRNOP00000002671,40.11,61.39,0.5886,0.6855,0.85863
XP_004857641.1,ENSRNOP00000053447,56.55,74.94,0.3105,0.3832,0.81043
XP_004865020.1,ENSRNOP00000042341,42.34,63.62,0.6058,0.7573,0.79996
XP_004858764.1,ENSRNOP00000042936,50.91,68.08,0.432,0.5532,0.781
XP_004874917.1,ENSRNOP00000004456,51.65,72.3,0.3496,0.457,0.76505
XP_004835242.1,ENSRNOP00000066037,44.62,62.05,0.5376,0.7091,0.75815
XP_004872812.1,ENSRNOP00000065607,54.81,66.99,0.4425,0.5838,0.75801
XP_004872082.1,ENSRNOP00000003954,36.53,56.89,0.693,0.9165,0.75612
XP_004841835.1,ENSRNOP00000027739,71.64,83.08,0.1812,0.2448,0.74011
XP_004858519.1,ENSRNOP00000036699,48.06,67.7,0.4163,0.5888,0.707
XP_004869878.1,ENSRNOP00000043600,46.88,64.79,0.4654,0.6604,0.70467
XP_004861545.1,ENSRNOP00000065954,30.29,49.27,0.8625,1.2317,0.70026
XP_004873064.1,ENSRNOP00000066253,46.1,62.95,0.4922,0.7051,0.6981
XP_004859203.1,ENSRNOP00000041357,47.55,65.03,0.4451,0.6466,0.68833
XP_004873651.1,ENSRNOP00000003129,45.79,61.73,0.5251,0.769,0.68283
XP_004867812.1,ENSRNOP00000035874,52.59,68.89,0.4443,0.6512,0.68234
XP_004851104.1,ENSRNOP00000016492,70.43,82.08,0.191,0.2807,0.68043
XP_004858205.1,ENSRNOP00000061678,65.69,76.64,0.2592,0.3813,0.67962
XP_004853479.1,ENSRNOP00000003969,49.72,69.06,0.3877,0.5769,0.67208
XP_004854582.1,ENSRNOP00000025252,61.39,73.62,0.3051,0.4542,0.67169
XP_004870735.1,ENSRNOP00000018898,60.58,75.24,0.3,0.4489,0.66824
XP_004834732.1,ENSRNOP00000002418,48.13,65,0.4965,0.749,0.66288
XP_004921166.1,ENSRNOP00000067455,53.01,70.04,0.3596,0.5453,0.65954
XP_004843563.1,ENSRNOP00000066545,59.37,74.68,0.2903,0.4409,0.65856
XP_004858811.1,ENSRNOP00000054898,45.31,64.35,0.4717,0.7172,0.65773
XP_004856121.1,ENSRNOP00000023555,48.51,64.21,0.5502,0.838,0.65651
XP_004842486.1,ENSRNOP00000001564,46.79,63.69,0.4832,0.7447,0.64894
XP_004853632.1,ENSRNOP00000035225,50.29,66.28,0.4347,0.6705,0.64825
XP_004870997.1,ENSRNOP00000031308,46.96,66.81,0.4264,0.6603,0.6458
XP_004869552.1,ENSRNOP00000013536,54.07,70.49,0.3532,0.5474,0.64518
XP_004861719.1,ENSRNOP00000039716,55.89,70.77,0.3443,0.5352,0.64336
XP_004858228.1,ENSRNOP00000066055,55.73,69.21,0.3673,0.5726,0.64147
XP_004921100.1,ENSRNOP00000034150,57.01,72.27,0.3325,0.5213,0.63778
XP_004836364.1,ENSRNOP00000022704,70.99,82.49,0.1821,0.2876,0.63311
XP_004868307.1,ENSRNOP00000031739,51.09,67.83,0.4038,0.6392,0.63171
XP_004842362.1,ENSRNOP00000065773,42.58,60.61,0.5385,0.8546,0.63018
XP_004854993.1,ENSRNOP00000023327,57.89,71.05,0.3504,0.5631,0.62217
XP_004861144.1,ENSRNOP00000009917,34.62,57.69,0.7283,1.1778,0.61833
XP_004921235.1,ENSRNOP00000057347,46.03,64.02,0.4508,0.7301,0.61749
XP_004850020.1,ENSRNOP00000035901,60.91,74.08,0.2923,0.4768,0.61305
XP_004859187.1,ENSRNOP00000006306,51.46,66.53,0.4148,0.6767,0.61301
XP_004846665.1,ENSRNOP00000018138,49.74,64.75,0.4404,0.7207,0.61105
XP_004868060.1,ENSRNOP00000021730,60,69.82,0.3617,0.5927,0.61033
XP_004857638.1,ENSRNOP00000053391,55.17,70.11,0.3461,0.5711,0.60594
XP_004846678.1,ENSRNOP00000063066,44.08,55.26,0.6397,1.0564,0.60549
XP_004863570.1,ENSRNOP00000040262,52.07,67.04,0.4036,0.6676,0.60463
XP_004857054.1,ENSRNOP00000015651,64.8,76.5,0.2596,0.4323,0.60037
XP_004872555.1,ENSRNOP00000005470,13.75,31.99,2.7401,4.5787,0.59845
XP_004854755.1,ENSRNOP00000066383,56.55,71.29,0.3332,0.5589,0.59617
XP_004835781.1,ENSRNOP00000002799,50.18,63.58,0.4554,0.7648,0.59544
XP_004851670.1,ENSRNOP00000051496,58.22,73.98,0.3217,0.5404,0.59525
XP_004843685.1,ENSRNOP00000000888,50.13,64.81,0.4663,0.786,0.59331
