SEQ1,SEQ2,PROT_PERCENTID,CDNA_PERCENTID,Ka,Ks,Ka/Ks,Associated Gene Name
XP_004834732.1,ENSMUSP00000110769,22.24,41.33,1.6702,1.5882,1.0516,Muc20
XP_004835241.1,ENSMUSP00000070840,40.38,64.1,0.5644,0.5468,1.03212,Uts2b
XP_004871808.1,ENSMUSP00000108896,36.31,61.08,0.6039,0.6821,0.88531,Csn3
XP_004851104.1,ENSMUSP00000101875,67.74,81.18,0.2137,0.2703,0.79044,Tmco2
XP_004869878.1,ENSMUSP00000065120,47.56,65.24,0.4723,0.6,0.78716,Plac1l
XP_004868028.1,ENSMUSP00000046080,27.78,47.84,0.9686,1.2591,0.76923,Bpifa2
XP_004865020.1,ENSMUSP00000103393,48.25,67.54,0.5088,0.6632,0.76716,Hemgn
XP_004858811.1,ENSMUSP00000056882,48.19,67.2,0.4298,0.5648,0.76109,Fcer1a
XP_004859203.1,ENSMUSP00000050151,50.7,67.07,0.4145,0.563,0.7362,Fcrl5
XP_004874917.1,ENSMUSP00000128141,51.31,71.42,0.3611,0.4928,0.73264,Fancb
XP_004859187.1,ENSMUSP00000064241,51.05,65.27,0.4662,0.6379,0.73082,Cd48
XP_004838527.1,ENSMUSP00000054273,44.31,61.68,0.543,0.748,0.72599,Ifnk
XP_004870735.1,ENSMUSP00000128569,58.35,75.59,0.2969,0.4222,0.70321,Evi2b
XP_004860552.1,ENSMUSP00000100590,60.85,76.89,0.2564,0.3649,0.70269,Tmem139
XP_004870997.1,ENSMUSP00000036816,43.48,65.22,0.4611,0.6568,0.70206,Tmem225
XP_004854582.1,ENSMUSP00000077878,59.69,73.51,0.3113,0.4446,0.70017,Il15ra
XP_004853479.1,ENSMUSP00000028024,50,69.81,0.3748,0.5431,0.69008,Tnfsf4
XP_004843563.1,ENSMUSP00000113259,59.74,75.47,0.2822,0.4099,0.68859,Prr14l
XP_004872812.1,ENSMUSP00000023814,54.81,68.27,0.3958,0.5766,0.68643,Npff
XP_004857638.1,ENSMUSP00000123011,49.81,67.67,0.4021,0.5863,0.68581,Xaf1
XP_004873651.1,ENSMUSP00000087047,45.18,62.68,0.4976,0.7284,0.6831,Cd86
XP_004867761.1,ENSMUSP00000044102,55.4,73.64,0.3114,0.4562,0.68254,Tmem156
XP_004858764.1,ENSMUSP00000120881,57.6,73.26,0.3223,0.4731,0.68134,Cd84
XP_004856121.1,ENSMUSP00000042028,50.35,66,0.5111,0.7535,0.67827,Apobr
XP_004840254.1,ENSMUSP00000127076,46.3,61.87,0.5274,0.7971,0.66165,Sap25
XP_004835242.1,ENSMUSP00000127563,42.31,60,0.5728,0.8674,0.66033,Tmem207
XP_004842362.1,ENSMUSP00000023693,42.16,61.5,0.5297,0.8066,0.65677,Ifnar2
XP_004851670.1,ENSMUSP00000106743,57.93,74.37,0.3191,0.4956,0.64391,Ccdc73
XP_004869046.1,ENSMUSP00000063644,28.17,43.54,1.0316,1.6043,0.64299,Park2
XP_004872082.1,ENSMUSP00000111418,35.98,54.36,0.731,1.1415,0.64043,Ccnb3
XP_004863570.1,ENSMUSP00000081819,53.59,69.26,0.3715,0.5802,0.64032,Nlrp14
XP_004921166.1,ENSMUSP00000040584,54.33,70.27,0.3546,0.5544,0.63961,Iqcc
XP_004868088.1,ENSMUSP00000091226,40.85,56.64,0.6089,0.9684,0.62874,Sp110
XP_004835781.1,ENSMUSP00000053822,50.71,63.33,0.4686,0.7462,0.62797,Cd200r1
XP_004840608.1,ENSMUSP00000091779,32.39,47.42,0.8848,1.4125,0.62643,Ccl26
XP_004858761.1,ENSMUSP00000004829,48.97,65,0.4389,0.7012,0.62591,Cd244
XP_004861719.1,ENSMUSP00000136055,56.11,70.95,0.3385,0.5415,0.62506,Stard9
XP_004840267.1,ENSMUSP00000048730,55.97,70.97,0.3538,0.5702,0.62053,Zcwpw1
XP_004921100.1,ENSMUSP00000035910,53.15,70.37,0.3472,0.5596,0.6205,Fam170a
XP_004853632.1,ENSMUSP00000083251,49.41,65.69,0.4464,0.7202,0.61978,Tnfsf18
XP_004835747.1,ENSMUSP00000093770,59.58,73.47,0.3041,0.4912,0.61914,Tigit
XP_004874021.1,ENSMUSP00000019962,64.06,74.13,0.2917,0.4738,0.61574,Cd164
XP_004842486.1,ENSMUSP00000049000,49.22,64.43,0.4531,0.7372,0.61471,Ndufv3
XP_004853753.1,ENSMUSP00000096346,67.87,82.11,0.1932,0.315,0.61314,Lrif1
XP_004873180.1,ENSMUSP00000092344,50.62,67.08,0.4132,0.6764,0.61078,Ceacam20
XP_004838690.1,ENSMUSP00000026188,62.97,77.71,0.2518,0.4127,0.61005,R3hcc1l
XP_004870675.1,ENSMUSP00000000342,55.67,73.2,0.3385,0.5557,0.60921,Ccl11
XP_004843685.1,ENSMUSP00000098436,50.13,64.64,0.464,0.7675,0.60456,Selplg
XP_004851517.1,ENSMUSP00000078723,63.48,78.26,0.2403,0.3979,0.60386,Pth
XP_004860172.1,ENSMUSP00000110519,40.51,58.69,0.6057,1.0047,0.60285,Usp26
XP_004841291.1,ENSMUSP00000029771,54.7,69.22,0.3612,0.5999,0.60217,F3
XP_004850020.1,ENSMUSP00000054943,59.61,73.54,0.2976,0.4945,0.60187,Cep68
XP_004868060.1,ENSMUSP00000109064,64.95,74.91,0.2784,0.4632,0.60088,Ccl20
XP_004864031.1,ENSMUSP00000124278,75.76,85.86,0.1406,0.2353,0.59765,Hmgn3
XP_004860649.1,ENSMUSP00000102192,52.79,65.79,0.4231,0.71,0.59597,Cd300a
XP_004848131.1,ENSMUSP00000051805,59.56,72.67,0.3083,0.5192,0.59373,Gprin3
XP_004864933.1,ENSMUSP00000036731,66.15,79.35,0.2267,0.3843,0.58983,Atf7ip2
XP_004834080.1,ENSMUSP00000075898,57.67,73.46,0.2979,0.5088,0.58552,Ccdc36
XP_004873000.1,ENSMUSP00000102087,72.65,82.59,0.1738,0.298,0.58325,Tmem69
XP_004859188.1,ENSMUSP00000130610,42.81,60.73,0.5226,0.896,0.58323,Slamf6
XP_004860598.1,ENSMUSP00000031749,54.23,67.88,0.3867,0.6636,0.58272,Nobox
XP_004844114.1,ENSMUSP00000094365,54.12,68.89,0.3698,0.6348,0.58256,Mroh9
XP_004861144.1,ENSMUSP00000063800,36.13,58.49,0.6309,1.0856,0.58111,Ifng
XP_004869212.1,ENSMUSP00000089792,10.46,32.39,2.2144,3.8159,0.58032,Rnpc3
XP_004840269.1,ENSMUSP00000050313,48,64.33,0.4414,0.7684,0.57442,Pilra
XP_004857054.1,ENSMUSP00000045286,67.5,78.08,0.2337,0.4068,0.57433,Spag5
XP_004861545.1,ENSMUSP00000074262,29.14,46.52,0.9352,1.6321,0.57303,Esx1
XP_004836381.1,ENSMUSP00000115539,59.83,72.2,0.3188,0.5599,0.56934,Gprin1
XP_004835791.1,ENSMUSP00000067877,57.3,70.34,0.3396,0.5982,0.56782,Btla
XP_004852294.1,ENSMUSP00000053412,58.64,71.2,0.3353,0.5915,0.5669,Ptprcap
XP_004841835.1,ENSMUSP00000058132,74.63,82.59,0.1717,0.304,0.56479,Nrep
XP_004856366.1,ENSMUSP00000084353,60,75.47,0.2974,0.5268,0.56447,Cenpq
XP_004862234.1,ENSMUSP00000131126,58.2,72.22,0.3113,0.5528,0.5632,Lax1
XP_004853717.1,ENSMUSP00000014743,68.32,79.43,0.2114,0.3755,0.56288,Csf1
XP_004850128.1,ENSMUSP00000075957,50.66,69.18,0.3878,0.6893,0.56257,Etaa1
XP_004868307.1,ENSMUSP00000032843,53.91,69.28,0.3654,0.6496,0.5625,Tmem126b
XP_004856749.1,ENSMUSP00000052033,57.92,71.31,0.3275,0.5835,0.56123,Amica1
XP_004841145.1,ENSMUSP00000045010,50,63.52,0.447,0.7991,0.55939,Lime1
XP_004864586.1,ENSMUSP00000043783,57.47,73.75,0.2929,0.5246,0.55844,Resp18
XP_004867034.1,ENSMUSP00000128497,46.31,59.58,0.5649,1.0156,0.55623,Ppp1r15a
XP_004875521.1,ENSMUSP00000108769,54.44,71.05,0.3456,0.6221,0.5555,Gprasp1
XP_004856517.1,ENSMUSP00000045332,57.65,72.49,0.3043,0.5485,0.55469,Ccdc129
XP_004835844.1,ENSMUSP00000110696,44.03,55.83,0.6108,1.1059,0.55228,Muc13
XP_004868449.1,ENSMUSP00000092286,54.38,70.33,0.358,0.6504,0.55046,Rbm44
XP_004873065.1,ENSMUSP00000073687,52.94,65.83,0.4097,0.7444,0.55037,Cxcl17
XP_004845940.1,ENSMUSP00000107707,56.85,71.23,0.3229,0.5871,0.54995,Clec7a
XP_004854964.1,ENSMUSP00000029369,55.53,69,0.3569,0.6495,0.54947,Sohlh2
XP_004869580.1,ENSMUSP00000048092,61.83,72.71,0.3009,0.5477,0.54932,C3ar1
XP_004861493.1,ENSMUSP00000128287,65.7,78.22,0.232,0.4232,0.54823,Rgag1
XP_004841897.1,ENSMUSP00000095223,57.14,63.29,0.4531,0.8276,0.54747,Ecscr
XP_004847126.1,ENSMUSP00000080949,49.29,62.96,0.4605,0.8426,0.54651,Mdc1
XP_004859186.1,ENSMUSP00000106907,46.88,64.06,0.4444,0.8147,0.54551,Slamf7
XP_004840880.1,ENSMUSP00000096914,68.64,78.44,0.2215,0.407,0.54431,Slx4ip
XP_004853772.1,ENSMUSP00000010280,66.67,76.73,0.2393,0.4401,0.54383,Pifo
XP_004858466.1,ENSMUSP00000048752,57.39,71.34,0.3237,0.596,0.54321,Alpk2
XP_004835225.1,ENSMUSP00000103407,51.99,70.69,0.3473,0.6395,0.54316,Zbbx
XP_004840812.1,ENSMUSP00000105828,57.4,69.73,0.3398,0.6277,0.5414,Mavs
XP_004858872.1,ENSMUSP00000079362,65,77.53,0.2395,0.443,0.5406,Sbsn
XP_004869552.1,ENSMUSP00000032240,54.29,70.32,0.3401,0.6321,0.53794,Clec4d
XP_004850672.1,ENSMUSP00000101492,60,73.44,0.2889,0.5373,0.53773,Aunip
XP_004872555.1,ENSMUSP00000019608,14.32,32.79,2.6372,4.9347,0.53442,Ptger1
XP_004848732.1,ENSMUSP00000058045,61.27,72.72,0.2992,0.5603,0.53396,Il31ra
XP_004855989.1,ENSMUSP00000039059,61.6,73.14,0.2882,0.5402,0.53351,Igsf6
XP_004874569.1,ENSMUSP00000036784,55.35,68.16,0.3941,0.739,0.53333,Ccdc15
XP_004921235.1,ENSMUSP00000075472,47.37,65.79,0.3958,0.743,0.53265,Rnase11
XP_004873686.1,ENSMUSP00000110528,60.74,72.84,0.2975,0.559,0.53227,Parp9
XP_004856756.1,ENSMUSP00000034602,67.25,75.83,0.2524,0.4754,0.531,Cd3d
XP_004835023.1,ENSMUSP00000035055,60.46,72.72,0.3004,0.5674,0.52939,Map4
XP_004838786.1,ENSMUSP00000033310,45.21,62.78,0.506,0.9563,0.52914,Mki67
XP_004855199.1,ENSMUSP00000095137,65.12,74.54,0.2631,0.4977,0.52876,Mbd1
XP_004863983.1,ENSMUSP00000111961,54.37,66.27,0.3918,0.7427,0.5276,Tnfrsf9
XP_004873127.1,ENSMUSP00000078287,67.89,77.37,0.2292,0.4345,0.5275,Lypd4
XP_004862859.1,ENSMUSP00000069723,64.44,75.65,0.2551,0.4837,0.52731,Apobec4
XP_004871725.1,ENSMUSP00000027202,45.18,63.16,0.4858,0.925,0.5252,Sgol2
XP_004851354.1,ENSMUSP00000038754,61.52,70.51,0.325,0.619,0.52513,Wee2
XP_004870216.1,ENSMUSP00000030179,51.39,66.39,0.3979,0.7594,0.52397,Cd72
XP_004861792.1,ENSMUSP00000028802,60.09,75.34,0.2777,0.5303,0.52369,Casc5
XP_004838168.1,ENSMUSP00000105752,51.71,66.21,0.4062,0.7767,0.52294,Gsdmc
XP_004852625.1,ENSMUSP00000065810,71.12,80.54,0.1942,0.3715,0.52267,Rtn3
XP_004838845.1,ENSMUSP00000081561,63.51,74.1,0.2776,0.5319,0.52191,Tacc2
XP_004834985.1,ENSMUSP00000080556,55.75,70.01,0.3428,0.6571,0.52171,Lamp3
XP_004871136.1,ENSMUSP00000079309,67.64,77.45,0.231,0.4438,0.52045,Tbpl2
XP_004836364.1,ENSMUSP00000026997,75.39,84.29,0.1493,0.2874,0.51941,Uimc1
XP_004834918.1,ENSMUSP00000111097,73.91,81.84,0.1704,0.3303,0.5159,Thpo
XP_004837553.1,ENSMUSP00000077119,55.32,69.9,0.3428,0.6653,0.51529,Fam71d
XP_004846138.1,ENSMUSP00000072788,69,79.27,0.2043,0.397,0.51457,Fancc
