SEQ1,SEQ2,PROT_PERCENTID,CDNA_PERCENTID,Ka,Ks,Ka/Ks
XP_004872885.1,ENSCPOP00000018114,67.42,81.82,0.2494,0.1493,1.67109
XP_004858519.1,ENSCPOP00000015183,69.31,82.84,0.2442,0.1573,1.55239
XP_004858205.1,ENSCPOP00000011520,72.17,86.67,0.1512,0.1142,1.32354
XP_004871511.1,ENSCPOP00000015357,60.26,77.92,0.3594,0.2731,1.31604
XP_004838309.1,ENSCPOP00000012097,77.12,88.7,0.1318,0.1115,1.182
XP_004835241.1,ENSCPOP00000013755,59.81,77.26,0.3094,0.2658,1.16417
XP_004858228.1,ENSCPOP00000019008,77.1,87.02,0.1495,0.1321,1.13183
XP_004860172.1,ENSCPOP00000006715,61.64,78.77,0.2693,0.244,1.10338
XP_004850709.1,ENSCPOP00000006260,87.78,94.07,0.0641,0.0591,1.08429
XP_004844586.1,ENSCPOP00000016482,60.97,78.07,0.2835,0.2615,1.08392
XP_004921266.1,ENSCPOP00000012539,59.35,71.96,0.3833,0.3538,1.08346
XP_004859188.1,ENSCPOP00000006245,53.1,70.99,0.3969,0.3665,1.08277
XP_004865020.1,ENSCPOP00000017945,75.36,87.36,0.1545,0.1436,1.0759
XP_004856481.1,ENSCPOP00000002037,85.34,91.67,0.0954,0.0908,1.05081
XP_004858764.1,ENSCPOP00000007811,69.29,83.07,0.2054,0.1973,1.0411
XP_004868088.1,ENSCPOP00000018669,73.71,85.76,0.1635,0.1617,1.01109
XP_004868307.1,ENSCPOP00000000833,63.84,81.4,0.2228,0.2206,1.01004
XP_004851845.1,ENSCPOP00000016006,70.22,82.86,0.2068,0.2061,1.00369
XP_004838527.1,ENSCPOP00000021204,75.57,86.26,0.1612,0.1618,0.99649
XP_004868028.1,ENSCPOP00000018197,41.28,56.88,0.7208,0.7277,0.99048
XP_004844803.1,ENSCPOP00000011145,71.43,80.95,0.2276,0.2309,0.9858
XP_004869295.1,ENSCPOP00000018628,62.2,79.79,0.2491,0.2569,0.9695
XP_004858811.1,ENSCPOP00000006988,62.31,77.95,0.2756,0.2849,0.96755
XP_004834732.1,ENSCPOP00000021062,60.28,75.67,0.3255,0.3369,0.96629
XP_004844114.1,ENSCPOP00000008847,70.6,82.04,0.2121,0.2219,0.95605
XP_004873127.1,ENSCPOP00000001632,73.58,84.42,0.1773,0.1867,0.94954
XP_004848728.1,ENSCPOP00000016452,70.97,84.95,0.1738,0.1875,0.92698
XP_004858761.1,ENSCPOP00000002017,57.25,73.36,0.3381,0.3671,0.92093
XP_004871064.1,ENSCPOP00000005810,82.5,85.83,0.161,0.1766,0.91197
XP_004848736.1,ENSCPOP00000007255,77.31,86.79,0.146,0.1604,0.91014
XP_004854755.1,ENSCPOP00000005118,70,83.08,0.1941,0.2154,0.90127
XP_004838776.1,ENSCPOP00000019139,62.5,78.85,0.2584,0.287,0.90046
XP_004869595.1,ENSCPOP00000009424,74.19,86.2,0.1547,0.1734,0.89229
XP_004841291.1,ENSCPOP00000001894,77.51,87.2,0.1401,0.1586,0.88335
XP_004852479.1,ENSCPOP00000006094,66.67,82.13,0.2093,0.2387,0.87699
XP_004835242.1,ENSCPOP00000009147,60,74.87,0.3161,0.3613,0.87482
XP_004861493.1,ENSCPOP00000004868,72.38,85.03,0.1724,0.1993,0.86496
XP_004839222.1,ENSCPOP00000000050,72.89,84.15,0.1832,0.2126,0.86191
XP_004845946.1,ENSCPOP00000007250,71.53,83.45,0.1871,0.2195,0.85228
