SEQ1,SEQ2,PROT_PERCENTID,CDNA_PERCENTID,Ka,Ks,Ka/Ks,Associated Gene Name
XP_004857704.1,ENSP00000387298,70.86,84.33,0.2005,0.1644,1.22005,ERICH2
XP_004854993.1,ENSP00000226730,66.23,81.9,0.2298,0.1911,1.20292,IL2
XP_004861545.1,ENSP00000361669,35.88,55.92,0.7444,0.6985,1.06583,ESX1
XP_004853479.1,ENSP00000281834,62.92,78.09,0.2811,0.2667,1.05399,TNFSF4
XP_004838527.1,ENSP00000276943,54.82,74.5,0.3406,0.3307,1.02994,IFNK
XP_004868307.1,ENSP00000351737,57.83,76.38,0.3021,0.3026,0.99851,TMEM126B
XP_004841835.1,ENSP00000378996,80.6,89.55,0.1143,0.1155,0.98927,NREP
XP_004870997.1,ENSP00000364166,49.33,70.52,0.4006,0.4059,0.98688,TMEM225
XP_004834732.1,ENSP00000414350,26.63,45.2,1.3207,1.386,0.9529,MUC20
XP_004860172.1,ENSP00000423390,47.53,68.54,0.4401,0.4776,0.92156,USP26
XP_004853542.1,ENSP00000355471,50.77,69.32,0.4041,0.442,0.9142,TFB2M
XP_004871808.1,ENSP00000304822,49.44,69.63,0.4373,0.4831,0.90519,CSN3
XP_004836277.1,ENSP00000421544,76.15,86.92,0.1406,0.1641,0.85658,PCBD2
XP_004869212.1,ENSP00000432886,10.44,31.66,2.3282,2.7272,0.8537,RNPC3
XP_004867812.1,ENSP00000361272,72.25,84.2,0.1796,0.2146,0.83675,DYDC2
XP_004843563.1,ENSP00000331845,70.03,83.41,0.1854,0.225,0.82398,PRR14L
XP_004858764.1,ENSP00000312367,68.31,80.16,0.231,0.2824,0.81808,CD84
XP_004873651.1,ENSP00000332049,58.05,75.28,0.3008,0.3678,0.81788,CD86
XP_004851104.1,ENSP00000361852,70.33,83.52,0.1845,0.2263,0.8155,TMCO2
XP_004838309.1,ENSP00000370886,72.88,85.03,0.1635,0.2024,0.80784,MLANA
XP_004857141.1,ENSP00000332404,71.76,83.84,0.1777,0.2211,0.80372,TMIGD1
XP_004857638.1,ENSP00000354822,59.39,75.43,0.2896,0.3624,0.79893,XAF1
XP_004868028.1,ENSP00000253362,43.23,60.55,0.5826,0.7308,0.7973,BPIFA2
XP_004845303.1,ENSP00000348054,78.95,87.28,0.1361,0.1717,0.79242,COMMD6
XP_004842362.1,ENSP00000343957,52.45,70.32,0.3766,0.4762,0.79075,IFNAR2
XP_004835241.1,ENSP00000340526,57.27,76.36,0.2917,0.3706,0.78717,UTS2B
XP_004870185.1,ENSP00000415299,51.33,66.96,0.4322,0.5556,0.77789,FAM221B
XP_004860464.1,ENSP00000410269,60.07,75,0.2984,0.3842,0.77671,TMEM176B
XP_004858361.1,ENSP00000420588,52.44,71.27,0.3681,0.4776,0.77072,TFAM
XP_004872812.1,ENSP00000267017,56.73,70.51,0.3677,0.4787,0.76824,NPFF
XP_004854755.1,ENSP00000369293,60.97,76.58,0.2745,0.3593,0.76405,IL2RA
XP_004837248.1,ENSP00000451463,71.9,83.1,0.1832,0.2417,0.75807,PROX2
XP_004839713.1,ENSP00000323348,56.38,75.53,0.2929,0.3888,0.75351,ZNF645
XP_004856755.1,ENSP00000431445,69.78,81.68,0.2057,0.2732,0.75306,CD3G
XP_004868088.1,ENSP00000258381,51.36,67.16,0.4178,0.5584,0.74824,SP110
XP_004872885.1,ENSP00000283006,72.67,83.56,0.1882,0.2525,0.74528,CENPH
XP_004835242.1,ENSP00000346981,49.22,68.49,0.4013,0.54,0.74305,TMEM207
